"Station","Code"
"Lelystad Centrum","LLS"
"Lichtenvoorde-Groenlo","LTV"
"Lochem","LC"
"Halfweg-Zwanenburg","HWZB"
"Loppersum","LP"
"Heerlen Woonboulevard","HRLW"
"Lunteren","LTN"
"Emmen Zuid","EMNZ"
"Maarn","MRN"
"Maarssen","MAS"
"Maastricht","MT"
"Maastricht Randwyck","MTR"
"Mantgum","MG"
"Mariënberg","MRB"
"Martenshoek","MTH"
"Maarheeze","MZ"
"Hengelo Gezondheidspark","HGLG"
"Meerssen","MES"
"Meppel","MP"
"Middelburg","MDB"
"Hardinxveld Blauwe Zoom","HBZM"
"Mook Molenhoek","MMLH"
"Maastricht Noord","MTN"
"Almere Poort","AMPO"
"Nijmegen Lent","NML"
"Naarden-Bussum","NDB"
"Nieuw Amsterdam",NA
"Nieuwerkerk a/d IJssel","NWK"
"Bad Nieuweschans","NSCH"
"Nieuw Vennep","NVP"
"Nunspeet","NS"
"Nuth","NH"
"Nijmegen Heyendaal","NMH"
"Nijkerk","NKK"
"Nijmegen","NM"
"Nijverdal","NVD"
"Nijmegen Dukenburg","NMD"
"Nijmegen Goffert","NMGO"
"Obdam","OBD"
"Oisterwijk","OT"
"Oldenzaal","ODZ"
"Olst","OST"
"Ommen","OMN"
"Oosterbeek","OTB"
"Hoevelaken","HVL"
"Opheusden","OP"
"Oss","O"
"Oss West","OW"
"Sliedrecht Baanhoek","SDTB"
"Oudenbosch","ODB"
"Purmerend Weidevenne","PMW"
"Overveen","OVN"
"Rijswijk","RSW"
"Purmerend Overwhere","PMO"
"Rotterdam Alexander","RTA"
"Purmerend","PMR"
"Putten","PT"
"Raalte","RAT"
"Ravenstein","RVS"
"Rhenen","RHN"
"Reuver","RV"
"Rheden","RH"
"Almelo de Riet","AMRI"
"Rilland-Bath","RB"
"Roermond","RM"
"Rosmalen","RS"
"Roodeschool","RD"
"Roosendaal","RSD"
"Rotterdam Blaak","RTB"
"Rotterdam Centraal","RTD"
"Rotterdam Noord","RTN"
"Rotterdam Zuid","RTZ"
"Rotterdam Stadion","RTST"
"Ruurlo","RL"
"Rijssen","RSN"
"Rotterdam Lombardijen","RLB"
"Santpoort Noord","SPTN"
"Santpoort Zuid","SPTZ"
"Sappemeer Oost","SPM"
"Sauwerd","SWD"
"Landgraaf","LG"
"Schagen","SGN"
"Scheemda","SDA"
"Schiedam Centrum","SDM"
"Schinnen","SN"
"Schin op Geul","SOG"
"Schiphol Airport","SHL"
"Sittard","STD"
"Sliedrecht","SDT"
"Sneek","SK"
"Soest","ST"
"Soestdijk","SD"
"Hilversum Sportpark","HVSP"
"Soest Zuid","STZ"
"Spaubeek","SBK"
"Sneek Noord","SKND"
"Stavoren","STV"
"Stedum","STM"
"Steenwijk","SWK"
"Susteren","SRN"
"Swalmen","SM"
"Tegelen","TG"
"Terborg","TBG"
"Tilburg Universiteit","TBU"
"Tiel","TL"
"Tilburg","TB"
"Tilburg Reeshof","TBR"
"Twello","TWL"
"Tiel Passewaaij","TPSW"
"Sassenheim","SSH"
"Utrecht Vaartsche Rijn","UTVR"
"Utrecht Leidsche Rijn","UTLR"
"Utrecht Zuilen","UTZL"
"Utrecht Terwijde","UTT"
"Uitgeest","UTG"
"Uithuizen","UHZ"
"Uithuizermeeden","UHM"
"Usquert","UST"
"Utrecht Overvecht","UTO"
"Utrecht Centraal","UT"
"Utrecht Lunetten","UTLN"
"Utrecht Maliebaan","UTM"
"Veenendaal Centrum","VNDC"
"Veenendaal West","VNDW"
"Valkenburg","VK"
"Varsseveld","VSV"
"Veendam","VDM"
"Veenendaal-De Klomp","KLP"
"Feanwâlden","FWD"
"Velp","VP"
"Venlo","VL"
"Venray","VRY"
"Vierlingsbeek","VLB"
"Vleuten","VTN"
"Vlissingen","VS"
"Vlissingen Souburg","VSS"
"Voorhout","VH"
"Voerendaal","VDL"
"Voorburg","VB"
"Voorschoten","VST"
"Vorden","VD"
"Vriezenveen","VZ"
"Vroomshoop","VHP"
"Vught","VG"
"Voorst-Empe","VEM"
"Waddinxveen Noord","WADN"
"Waddinxveen","WAD"
"Waddinxveen Triangel","WADT"
"Warffum","WFM"
"Weert","WT"
"Weesp","WP"
"Wehl","WL"
"Westervoort","WTV"
"Wezep","WZ"
"Wierden","WDN"
"Winschoten","WS"
"Winsum","WSM"
"Winterswijk","WW"
"Winterswijk West","WWW"
"Woerden","WD"
"Wolfheze","WF"
"Wolvega","WV"
"Workum","WK"
"Wormerveer","WM"
"Wijchen","WC"
"Wijhe","WH"
"IJlst","IJT"
"Zaandam Kogerveld","ZDK"
"Zaandam","ZD"
"Zaltbommel","ZBM"
"Zandvoort aan Zee","ZVT"
"Zetten-Andelst","ZA"
"Zevenaar","ZV"
"Zevenbergen","ZVB"
"Zoetermeer Oost","ZTMO"
"Zoetermeer","ZTM"
"Zuidbroek","ZB"
"Zuidhorn","ZH"
"Zutphen","ZP"
"De Westereen","DWE"
"Zwolle Stadshagen na 14 dec","ZLSH"
"Zwolle","ZL"
"Zwijndrecht","ZWD"
"Veendam","VDM"
"Veenendaal Centrum","VNDC"
"Veenendaal West","VNDW"
"Veenendaal-De Klomp","KLP"
"Veenwouden tot 13 dec","VWD"
"Velp","VP"
"Venlo","VL"
"Venray","VRY"
"Vierlingsbeek","VLB"
"Vlaardingen Centrum","VDG"
"Vlaardingen Oost","VDO"
"Vlaardingen West","VDW"
"Vleuten","VTN"
"Vlissingen","VS"
"Vlissingen Souburg","VSS"
"Voerendaal","VDL"
"Voorburg","VB"
"Voorhout","VH"
"Voorschoten","VST"
"Voorst-Empe","VEM"
"Vorden","VD"
"Vriezenveen","VZ"
"Vroomshoop","VHP"
"Vught","VG"
"Waddinxveen","WAD"
"Waddinxveen Noord","WADN"
"Warffum","WFM"
"Weert","WT"
"Weesp","WP"
"Wehl","WL"
"Westervoort","WTV"
"Wezep","WZ"
"Wierden","WDN"
"Wijchen","WC"
"Wijhe","WH"
"Winschoten","WS"
"Winsum","WSM"
"Winterswijk","WW"
"Winterswijk West","WWW"
"Woerden","WD"
"Wolfheze","WF"
"Wolvega","WV"
"Workum","WK"
"Wormerveer","WM"
"Zaandam","ZD"
"Zaandam Kogerveld","ZDK"
"Zaltbommel","ZBM"
"Zandvoort aan Zee","ZVT"
"Zetten-Andelst","ZA"
"Zevenaar","ZV"
"Zevenbergen","ZVB"
"Zoetermeer","ZTM"
"Zoetermeer Oost","ZTMO"
"Zuidbroek","ZB"
"Zuidhorn","ZH"
"Zutphen","ZP"
"Zwaagwesteinde tot 13 dec","ZWW"
"Zwijndrecht","ZWD"
"Zwolle","ZL"
